0 24 48
0 26 31
0 35 75
0 37 91
300 23 69
300 23 30
300 29 53
300 30 63
300 30 53
600 2 15
600 7 16
600 7 12
600 12 16
900 9 73
900 45 70
900 52 84
900 53 70
1200 1 84
1200 5 18
1200 6 84
1200 7 84
1200 20 84
1200 28 30
1200 29 53
1200 32 38
1200 33 84
1200 67 84
1200 81 84
1200 84 88
1500 8 26
1500 42 43
1500 53 63
1800 56 84
2100 29 53
2100 51 65
2400 28 69
2400 46 60
2400 49 86
2400 49 55
2400 55 86
2700 7 16
2700 7 58
3000 3 53
3000 7 33
3000 11 56
3000 22 32
3000 22 45
3000 28 70
3000 44 51
3000 53 70
3000 53 61
3300 14 24
3300 21 69
3300 29 53
3300 85 91
3600 17 68
3600 36 50
3900 58 65
3900 76 78
3900 76 81
3900 78 81
4200 2 60
4200 28 53
4200 39 58
4200 58 65
4500 5 34
4500 5 37
4500 7 27
4500 23 30
4500 30 34
4800 24 48
4800 31 91
4800 66 69
5100 22 64
5100 40 88
5100 44 51
5100 67 78
5400 53 62
5400 76 78
5700 22 64
5700 35 79
5700 77 82
6000 2 15
6000 9 73
6000 20 40
6000 40 75
6000 44 70
6300 53 63
6600 9 73
6600 24 28
6600 29 53
6900 8 26
6900 9 62
6900 9 28
6900 28 73
6900 28 62
6900 50 52
6900 50 86
7200 1 84
7200 5 18
7200 15 88
7200 15 40
7200 15 84
7200 18 32
7200 22 32
7200 23 69
7200 28 30
7200 29 53
7200 59 88
7200 59 84
7200 62 75
7200 81 84
7200 84 88
7500 23 30
7500 29 53
7500 52 86
7500 57 60
7500 74 86
7800 29 53
7800 50 74
7800 52 86
8100 9 62
8100 23 53
8100 23 73
8100 28 53
8100 28 73
8100 29 53
8100 39 51
8400 2 10
8400 2 40
8400 6 10
8400 21 88
8400 44 51
8400 57 88
8700 53 69
8700 61 69
9000 16 61
9000 23 53
9000 28 69
9000 30 53
9300 5 37
9300 5 18
9300 14 77
9300 18 37
9300 64 77
9600 0 14
9600 14 37
9600 17 18
9600 28 30
9600 64 77
9900 3 58
9900 29 63
9900 37 58
9900 50 75
10200 0 24
10200 0 48
10200 9 62
10200 15 67
10200 23 30
10500 1 76
10500 37 58
10800 28 84
10800 39 51
11100 3 37
11100 9 30
11100 32 88
11400 14 71
11400 44 51
11400 50 86
11700 28 69
11700 30 53
11700 53 70
12000 29 53
12300 15 33
12600 37 84
12600 49 86
12600 50 74
12600 58 84
12900 35 75
13200 23 30
13200 45 72
13200 45 65
13200 49 74
13200 50 86
13200 52 84
13200 65 72
13500 9 66
13500 9 62
13500 30 66
13500 50 74
13500 58 72
13800 22 64
14100 8 26
14100 9 62
14100 52 84
14400 52 79
14700 1 15
14700 29 63
14700 55 79
14700 56 87
14700 75 79
15000 28 84
15000 39 51
15300 5 18
15300 35 50
15300 42 50
15300 50 86
15600 50 74
15600 53 69
15900 1 78
15900 3 5
15900 29 63
16200 18 47
16200 18 37
16200 58 65
16500 8 82
16500 9 19
16500 9 62
16500 22 39
16500 22 64
16500 37 58
16500 38 44
16800 35 55
16800 50 74
17100 35 52
17100 44 77
17100 56 84
17400 24 48
17700 3 24
17700 14 45
17700 24 29
17700 24 53
17700 24 28
17700 29 53
17700 44 51
18000 28 73
18000 62 73
18000 67 84
18000 67 76
18300 17 18
18300 18 68
18300 24 48
18300 32 58
18600 12 44
18600 12 72
18600 12 58
18600 17 34
18600 35 50
18600 43 58
18600 44 58
18600 44 56
18600 50 75
18600 53 70
18600 56 58
18600 56 65
18900 11 48
18900 12 49
18900 49 67
18900 58 65
18900 60 89
19200 9 63
19200 37 77
19500 15 60
19800 9 73
19800 49 73
19800 50 86
19800 57 60
20100 6 40
20100 7 16
20400 28 70
20400 38 39
20700 29 53
20700 52 87
21000 62 73
21300 4 50
21300 5 24
21300 7 57
21300 8 26
21300 9 62
21300 13 50
21300 14 90
21300 14 37
21300 32 80
21300 37 90
21600 44 51
21600 58 65
21900 49 55
21900 50 86
22200 24 45
22200 29 53
22200 44 51
22500 12 64
22500 12 45
22500 12 58
22500 17 18
22500 18 68
22500 34 58
22500 64 77
22800 7 16
22800 29 53
22800 49 52
23100 9 63
23100 9 28
23400 0 24
23400 21 42
23400 22 38
23400 24 45
23400 25 28
23400 27 57
23400 67 76
23700 14 58
23700 14 37
23700 22 91
